Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url
Ambirix,hepatitis-A virus (inactivated) / hepatitis-B surface antigen,2002-08-30,Authorised,Hepatitis A  Hepatitis B  Immunization,index.jsp?curl=pages/medicines/human/medicines/000426/human_med_000645.jsp
Ameluz,5-aminolevulinic acid hydrochloride,2011-12-14,Authorised,"Keratosis, Actinic",index.jsp?curl=pages/medicines/human/medicines/002204/human_med_001528.jsp
Amlodipine / Valsartan Mylan,amlodipine besilate / valsartan,2016-03-22,Authorised,Hypertension,
Ammonaps,sodium phenylbutyrate,1999-12-08,Authorised,Carbamoyl-Phosphate Synthase I Deficiency Disease  Citrullinemia  Ornithine Carbamoyltransferase Deficiency Disease,index.jsp?curl=pages/medicines/human/medicines/000219/human_med_000646.jsp
Amyvid,florbetapir (18F),2013-01-14,Authorised,Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/002422/human_med_001611.jsp
Angiox,bivalirudin,2004-09-20,Authorised,"Acute Coronary Syndrome  Angioplasty, Transluminal, Percutaneous Coronary",index.jsp?curl=pages/medicines/human/medicines/000562/human_med_000647.jsp
Anoro,umeclidinium bromide / vilanterol trifenatate,2014-05-08,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002751/human_med_001754.jsp
Apidra,insulin glulisine,2004-09-27,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000557/human_med_000648.jsp
Aprovel,irbesartan,1997-08-27,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000141/human_med_000649.jsp
Aptivus,tipranavir,2005-10-25,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000631/human_med_000650.jsp
Aranesp,darbepoetin alfa,2001-06-08,Authorised,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000332/human_med_000651.jsp
Arava,leflunomide,1999-09-02,Authorised,"Arthritis, Psoriatic  Arthritis, Rheumatoid",index.jsp?curl=pages/medicines/human/medicines/000235/human_med_000652.jsp
Arepanrix,"split influenza virus, inactivated, containing antigen* : A/California/7/2009 (H1N1)v like strain (X-179A) * produced in eggs",2010-03-23,Withdrawn,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/001201/human_med_001299.jsp
Ariclaim,duloxetine,2004-08-11,Authorised,Diabetic Neuropathies,index.jsp?curl=pages/medicines/human/medicines/000552/human_med_000654.jsp
Aripiprazole Accord,aripiprazole,2015-11-16,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/004021/human_med_001920.jsp
Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),aripiprazole,2015-06-30,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/003803/human_med_001867.jsp
Aripiprazole Sandoz,aripiprazole,2015-08-20,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/004008/human_med_001892.jsp
Aripiprazole Zentiva,aripiprazole,2015-06-25,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/003899/human_med_001868.jsp
Arixtra,fondaparinux sodium,2002-03-21,Authorised,"Angina, Unstable  Myocardial Infarction  Pulmonary Embolism  Venous Thrombosis",index.jsp?curl=pages/medicines/human/medicines/000403/human_med_000655.jsp
Armisarte (previously Pemetrexed Actavis),pemetrexed diacid monohydrate,2016-01-18,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/004109/human_med_001952.jsp
Arzerra,ofatumumab,2010-04-19,Authorised,"Leukemia, Lymphocytic, Chronic, B-Cell",index.jsp?curl=pages/medicines/human/medicines/001131/human_med_001300.jsp
Atazanavir Mylan,atazanavir sulfate,2016-08-22,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/004048/human_med_001988.jsp
Atosiban SUN,atosiban acetate,2013-07-31,Authorised,Premature Birth,index.jsp?curl=pages/medicines/human/medicines/002329/human_med_001671.jsp
Atriance,nelarabine,2007-08-22,Authorised,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,index.jsp?curl=pages/medicines/human/medicines/000752/human_med_000656.jsp
Atripla,efavirenz / emtricitabine / tenofovir disoproxil fumarate,2007-12-13,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000797/human_med_000657.jsp
ATryn,antithrombin alfa,2006-07-28,Authorised,Antithrombin III Deficiency,index.jsp?curl=pages/medicines/human/medicines/000587/human_med_000658.jsp
Aubagio,teriflunomide,2013-08-26,Authorised,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/002514/human_med_001645.jsp
Avaglim,rosiglitazone / glimepiride,2006-06-27,Withdrawn,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000675/human_med_000659.jsp
Avamys,fluticasone furoate,2008-01-11,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal",index.jsp?curl=pages/medicines/human/medicines/000770/human_med_000660.jsp
Avandamet,"rosiglitazone / metformin hydrochloride,",2003-10-20,Withdrawn,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000522/human_med_000661.jsp
Avandia,rosiglitazone,2000-07-11,Withdrawn,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000268/human_med_000662.jsp
Avastin,bevacizumab,2005-01-12,Authorised,"Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Carcinoma, Renal Cell  Colorectal Neoplasms  Ovarian Neoplasms",index.jsp?curl=pages/medicines/human/medicines/000582/human_med_000663.jsp
Avonex,interferon beta-1a,1997-03-13,Authorised,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/000102/human_med_000664.jsp
Axura,memantine hydrochloride,2002-05-17,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/000378/human_med_000665.jsp
Azarga,brinzolamide / timolol,2008-11-25,Authorised,"Glaucoma, Open-Angle  Ocular Hypertension",index.jsp?curl=pages/medicines/human/medicines/000960/human_med_000666.jsp
Azilect,rasagiline,2005-02-21,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/000574/human_med_000667.jsp
Azomyr,desloratadine,2001-01-15,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/000310/human_med_000668.jsp
Azopt,brinzolamide,2000-03-09,Authorised,"Glaucoma, Open-Angle  Ocular Hypertension",index.jsp?curl=pages/medicines/human/medicines/000267/human_med_000669.jsp
Balaxur,memantine hydrochloride / donepezil hydrochloride,2013-02-20,Refused,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/002708/human_med_001604.jsp
Baraclude,entecavir,2006-06-26,Authorised,"Hepatitis B, Chronic",index.jsp?curl=pages/medicines/human/medicines/000623/human_med_000670.jsp
Bemfola,follitropin alfa,2014-03-27,Authorised,Anovulation,index.jsp?curl=pages/medicines/human/medicines/002615/human_med_001734.jsp
BeneFIX,nonacog alfa,1997-08-27,Authorised,Hemophilia B,index.jsp?curl=pages/medicines/human/medicines/000139/human_med_000671.jsp
Benepali,etanercept,2016-01-14,Authorised,"Arthritis, Psoriatic  Arthritis, Rheumatoid  Psoriasis",index.jsp?curl=pages/medicines/human/medicines/004007/human_med_001944.jsp
Benlysta,belimumab,2011-07-13,Authorised,"Lupus Erythematosus, Systemic",index.jsp?curl=pages/medicines/human/medicines/002015/human_med_001466.jsp
Beromun,tasonermin,1999-04-13,Authorised,Sarcoma,index.jsp?curl=pages/medicines/human/medicines/000206/human_med_000672.jsp
Betaferon,interferon beta-1b,1995-11-30,Authorised,Multiple Sclerosis,index.jsp?curl=pages/medicines/human/medicines/000081/human_med_000673.jsp
Betmiga,mirabegron,2012-12-20,Authorised,"Urinary Bladder, Overactive",index.jsp?curl=pages/medicines/human/medicines/002388/human_med_001605.jsp
Bexsero,recombinant Neisseria meningitidis group-B NHBA fusion protein / recombinant Neisseria meningitidis group-B NadA protein / recombinant Neisseria meningitidis group B fHbp fusion protein / outer membrane vesicles from Neisseria meningitidis group-B strain NZ98 / 254 measured as amount of total protein containing the PorA P1.4,2013-01-14,Authorised,"Meningitis, Meningococcal",index.jsp?curl=pages/medicines/human/medicines/002333/human_med_001614.jsp
Bextra,valdecoxib,2003-03-27,Withdrawn,"Arthritis, Rheumatoid  Dysmenorrhea  Osteoarthritis",index.jsp?curl=pages/medicines/human/medicines/000431/human_med_000674.jsp
BindRen,colestilan,2013-01-21,Withdrawn,Hyperphosphatemia,index.jsp?curl=pages/medicines/human/medicines/002377/human_med_001595.jsp
Binocrit,epoetin alfa,2007-08-28,Authorised,"Anemia  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000725/human_med_000675.jsp
Biograstim,filgrastim,2008-09-15,Withdrawn,Cancer  Hematopoietic Stem Cell Transplantation  Neutropenia,index.jsp?curl=pages/medicines/human/medicines/000826/human_med_000676.jsp
Biopoin,epoetin theta,2009-10-23,Authorised,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/001036/human_med_001201.jsp
BiResp Spiromax,budesonide / formoterol fumarate dihydrate,2014-04-28,Authorised,"Asthma  Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/003890/human_med_001750.jsp
Blincyto,blinatumomab,2015-11-23,Authorised,Precursor Cell Lymphoblastic Leukemia-Lymphoma,index.jsp?curl=pages/medicines/human/medicines/003731/human_med_001921.jsp
Bondenza (previously Ibandronic Acid Roche),ibandronic acid,2004-02-23,Withdrawn,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000502/human_med_000677.jsp
Bondronat,ibandronic acid,1996-06-25,Authorised,"Breast Neoplasms  Fractures, Bone  Hypercalcemia  Neoplasm Metastasis",index.jsp?curl=pages/medicines/human/medicines/000101/human_med_000678.jsp
Bonviva,ibandronic acid,2004-02-23,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000501/human_med_000679.jsp
Bortezomib Accord,bortezomib,2015-07-20,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/003984/human_med_001882.jsp
Bortezomib Hospira,bortezomib,2016-07-22,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/004207/human_med_001995.jsp
Bortezomib Sun,bortezomib,2016-07-22,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/004076/human_med_001996.jsp
Bosulif,bosutinib (as monohydrate),2013-03-27,Authorised,,index.jsp?curl=pages/medicines/human/medicines/002373/human_med_001613.jsp
Bretaris Genuair,"aclidinium bromide, micronised",2012-07-20,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002706/human_med_001570.jsp
Bridion,sugammadex,2008-07-25,Authorised,Neuromuscular Blockade,index.jsp?curl=pages/medicines/human/medicines/000885/human_med_000680.jsp
Brilique,ticagrelor,2010-12-03,Authorised,Acute Coronary Syndrome  Peripheral Vascular Diseases,index.jsp?curl=pages/medicines/human/medicines/001241/human_med_001398.jsp
Brimica Genuair,aclidinium / formoterol fumarate dihydrate,2014-11-19,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/003969/human_med_001806.jsp
Brinavess,vernakalant hydrochloride,2010-09-01,Authorised,Atrial Fibrillation,index.jsp?curl=pages/medicines/human/medicines/001215/human_med_001375.jsp
Brintellix,vortioxetine,2013-12-18,Authorised,"Depressive Disorder, Major",index.jsp?curl=pages/medicines/human/medicines/002717/human_med_001714.jsp
Briviact,brivaracetam,2016-01-14,Authorised,Epilepsy,index.jsp?curl=pages/medicines/human/medicines/003898/human_med_001945.jsp
Bronchitol,mannitol,2012-04-13,Authorised,Cystic Fibrosis,index.jsp?curl=pages/medicines/human/medicines/001252/human_med_001475.jsp
Buccolam,midazolam,2011-09-05,Authorised,Epilepsy,index.jsp?curl=pages/medicines/human/medicines/002267/human_med_001479.jsp
Budesonide/Formoterol Teva,budesonide / formoterol fumarate dihydrate,2014-11-19,Withdrawn,"Asthma  Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/003951/human_med_001807.jsp
Budesonide/Formoterol Teva Pharma B.V.,budesonide / formoterol,2014-11-19,Withdrawn,Asthma,index.jsp?curl=pages/medicines/human/medicines/003953/human_med_001808.jsp
Busilvex,busulfan,2003-07-09,Authorised,Hematopoietic Stem Cell Transplantation,index.jsp?curl=pages/medicines/human/medicines/000472/human_med_000681.jsp
Busulfan Fresenius Kabi,busulfan,2014-09-22,Authorised,Hematopoietic Stem Cell Transplantation,index.jsp?curl=pages/medicines/human/medicines/002806/human_med_001799.jsp
Bydureon,exenatide,2011-06-17,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/002020/human_med_001457.jsp
Byetta,exenatide,2006-11-20,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000698/human_med_000682.jsp
Cabometyx,cabozantinib s-malate,2016-09-09,Authorised,"Carcinoma, Renal Cell",
Caelyx,doxorubicin hydrochloride,1996-06-21,Authorised,"Breast Neoplasms  Multiple Myeloma  Ovarian Neoplasms  Sarcoma, Kaposi",index.jsp?curl=pages/medicines/human/medicines/000089/human_med_000683.jsp
Cancidas (previously Caspofungin MSD),caspofungin,2001-10-24,Authorised,Aspergillosis  Candidiasis,index.jsp?curl=pages/medicines/human/medicines/000379/human_med_000684.jsp
Capecitabine Accord,capecitabine,2012-04-20,Authorised,Breast Neoplasms  Colonic Neoplasms  Colorectal Neoplasms  Stomach Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002386/human_med_001553.jsp
Capecitabine Medac,capecitabine,2012-11-19,Authorised,Colorectal Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002568/human_med_001596.jsp
Capecitabine SUN,capecitabine,2013-06-21,Withdrawn,Breast Neoplasms  Colonic Neoplasms  Colorectal Neoplasms  Stomach Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002050/human_med_001658.jsp
Capecitabine Teva,capecitabine,2012-04-20,Authorised,Breast Neoplasms  Colonic Neoplasms  Colorectal Neoplasms  Stomach Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002362/human_med_001555.jsp
Caprelsa,vandetanib,2012-02-17,Authorised,Thyroid Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002315/human_med_001529.jsp
Carbaglu,carglumic acid,2003-01-24,Authorised,"Amino Acid Metabolism, Inborn Errors  Propionic Acidemia",index.jsp?curl=pages/medicines/human/medicines/000461/human_med_000685.jsp
Caspofungin Accord,caspofungin acetate,2016-02-11,Authorised,Aspergillosis  Candidiasis,index.jsp?curl=pages/medicines/human/medicines/004134/human_med_001965.jsp
Cayston,aztreonam lysine,2009-09-21,Authorised,Cystic Fibrosis  Respiratory Tract Infections,index.jsp?curl=pages/medicines/human/medicines/000996/human_med_000686.jsp
CEA-Scan,arcitumomab,1996-10-04,Withdrawn,Colorectal Neoplasms  Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/000041/human_med_000687.jsp
CellCept,mycophenolate mofetil,1996-02-14,Authorised,Graft Rejection,index.jsp?curl=pages/medicines/human/medicines/000082/human_med_000688.jsp
Celsentri,maraviroc,2007-09-18,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000811/human_med_000689.jsp
Celvapan,"whole virion, inactivated containing antigen: A/California/07/2009 (H1N1)v",2009-03-04,Withdrawn,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/000982/human_med_000690.jsp
Ceplene,histamine dihydrochloride,2008-10-07,Authorised,"Leukemia, Myeloid, Acute",index.jsp?curl=pages/medicines/human/medicines/000796/human_med_000691.jsp
Ceprotin,human protein C,2001-07-16,Authorised,Protein C Deficiency  Purpura Fulminans,index.jsp?curl=pages/medicines/human/medicines/000334/human_med_000692.jsp
Cerdelga,eliglustat,2015-01-19,Authorised,Gaucher Disease,index.jsp?curl=pages/medicines/human/medicines/003724/human_med_001840.jsp
Cerezyme,imiglucerase,1997-11-17,Authorised,Gaucher Disease,index.jsp?curl=pages/medicines/human/medicines/000157/human_med_000693.jsp
Cervarix,human papillomavirus1 type 16 L1 protein / human papillomavirus type 18 L1 protein,2007-09-20,Authorised,Immunization  Papillomavirus Infections  Uterine Cervical Dysplasia,index.jsp?curl=pages/medicines/human/medicines/000721/human_med_000694.jsp
Cetrotide,cetrorelix,1999-04-13,Authorised,Ovulation  Ovulation Induction,index.jsp?curl=pages/medicines/human/medicines/000233/human_med_000695.jsp
Champix,varenicline,2006-09-26,Authorised,Tobacco Use Cessation,index.jsp?curl=pages/medicines/human/medicines/000699/human_med_000696.jsp
Cholestagel,colesevelam,2004-03-10,Authorised,Hypercholesterolemia,index.jsp?curl=pages/medicines/human/medicines/000512/human_med_000697.jsp
Cholib,fenofibrate / simvastatin,2013-08-26,Authorised,Dyslipidemias,index.jsp?curl=pages/medicines/human/medicines/002559/human_med_001674.jsp
ChondroCelect,characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,2009-10-05,Withdrawn,Cartilage Diseases,index.jsp?curl=pages/medicines/human/medicines/000878/human_med_000698.jsp
Cialis,tadalafil,2002-11-12,Authorised,Erectile Dysfunction,index.jsp?curl=pages/medicines/human/medicines/000436/human_med_000699.jsp
Ciambra,pemetrexed disodium hemipentahydrate,2015-12-02,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/003788/human_med_001923.jsp
Cimzia,certolizumab pegol,2008-05-21,Refused,Crohn Disease,index.jsp?curl=pages/medicines/human/medicines/001037/human_med_001294.jsp
Cimzia,certolizumab pegol,2009-10-01,Authorised,"Arthritis, Rheumatoid",index.jsp?curl=pages/medicines/human/medicines/001037/human_med_001294.jsp
Cinacalcet Mylan,cinacalcet hydrochloride,2015-11-19,Authorised,"Hypercalcemia  Hyperparathyroidism, Secondary",index.jsp?curl=pages/medicines/human/medicines/004014/human_med_001924.jsp
Cinqaero,reslizumab,2016-08-16,Authorised,Asthma,index.jsp?curl=pages/medicines/human/medicines/003912/human_med_002012.jsp
Cinryze,C1 inhibitor (human),2011-06-15,Authorised,"Angioedemas, Hereditary",index.jsp?curl=pages/medicines/human/medicines/001207/human_med_001448.jsp
Circadin,melatonin,2007-06-29,Authorised,Sleep Initiation and Maintenance Disorders,index.jsp?curl=pages/medicines/human/medicines/000695/human_med_000701.jsp
Clopidogrel 1A Pharma,clopidogrel,2009-07-28,Withdrawn,Peripheral Vascular Diseases,index.jsp?curl=pages/medicines/human/medicines/001054/human_med_001353.jsp
Clopidogrel Acino,clopidogrel,2009-07-28,Authorised,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001166/human_med_000702.jsp
Clopidogrel Acino Pharma,clopidogrel,2009-09-21,Withdrawn,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001172/human_med_000703.jsp
Clopidogrel Acino Pharma GmbH,clopidogrel,2009-09-21,Withdrawn,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001175/human_med_000704.jsp
Clopidogrel Apotex (previously Clopidogrel Mylan Pharma),clopidogrel besilate,2009-10-16,Authorised,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001189/human_med_000711.jsp
Clopidogrel BGR (previously Zylagren),clopidogrel hydrogen sulphate,2009-09-21,Authorised,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001138/human_med_001186.jsp
Clopidogrel BMS,clopidogrel hydrogen sulphate,2008-07-16,Withdrawn,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/000974/human_med_000705.jsp
Clopidogrel DURA,clopidogrel hydrochloride,2009-07-21,Withdrawn,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001132/human_med_000706.jsp
Clopidogrel HCS,clopidogrel hydrochloride,2010-10-28,Authorised,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/002255/human_med_001390.jsp
