,Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url,atc,emea,indication,wdid,wdid_mix,rxcui,rxcui_mix,rxcui_combo
27,Aflunov,influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/turkey/Turkey/1/05 (H5N1)-like strain (NIBRG-23),2010-11-29,Authorised,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/002094/human_med_001396.jsp,J07BB02,EMEA/H/C/002094,"Active immunisation against H5N1 subtype of influenza-A virus.
This indication is based on immunogenicity data from healthy subjects from the age of 18 years onwards following administration of two doses of the vaccine containing A/turkey/Turkey/1/05 (H5N1)-like strain.Aflunov should be used in accordance with official recommendations.",Q4202214,,,,
28,Agenerase,amprenavir,2000-10-20,Withdrawn,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000264/human_med_000634.jsp,J05AE05,EMEA/H/C/000264,"Agenerase, in combination with other antiretroviral agents, is indicated for the treatment of protease inhibitor (PI) experienced HIV-1 infected adults and children above the age of 4 years. Agenerase capsules should normally be administered with low dose ritonavir as a pharmacokinetic enhancer of amprenavir (see sections 4.2 and 4.5). The choice of amprenavir should be based on individual viral resistance testing and treatment history of patients (see section 5.1).The benefit of Agenerase boosted with ritonavir has not been demonstrated in PI nave patients (see section 5.1)",Q422198,,228656,,
29,Airexar Spiromax,salmeterol / fluticasone propionate,2016-08-18,Authorised,"Asthma  Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/004267/human_med_002008.jsp,R03AK06,EMEA/H/C/004267,"Airexar Spiromax is indicated for use in adults aged 18 years and older only.
AsthmaAirexar Spiromax is indicated for the regular treatment of patients with severe asthma where use of a combination product (inhaled corticosteroid and long-acting 2 agonist) is appropriate:
-patients not adequately controlled on a lower strength corticosteroid combination product
or
- patients already controlled on a high dose inhaled corticosteroid and long-acting 2 agonist.
Chronic Obstructive Pulmonary Disease (COPD)Airexar Spiromax is indicated for the symptomatic treatment of patients with COPD, with a FEV1 60% predicted normal (pre-bronchodilator) and a history of repeated exacerbations, who have significant symptoms despite regular bronchodilator therapy.",,"['Q424333', 'Q8564098']",,"['36117', '50121']",
30,Akynzeo,netupitant / palonosetron hydrochloride,2015-05-27,Authorised,Cancer  Nausea  Vomiting,index.jsp?curl=pages/medicines/human/medicines/003728/human_med_001862.jsp,A04AA,EMEA/H/C/003728,"Akynzeo is indicated in adults for the:

Prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin based cancer chemotherapy.
Prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy.
",,"['Q19598139', 'Q27158366']",,"['1552337', '397405']",
31,Aldara,imiquimod,1998-09-18,Authorised,"Carcinoma, Basal Cell  Condylomata Acuminata  Keratosis  Keratosis, Actinic",index.jsp?curl=pages/medicines/human/medicines/000179/human_med_000635.jsp,D06BB10,EMEA/H/C/000179,"Imiquimod cream is indicated for the topical treatment of:

external genital and perianal warts (condylomata acuminata) in adults;
small superficial basal-cell carcinomas (sBCCs) in adults;
clinically typical, non-hyperkeratotic, non-hypertrophic actinic keratoses (AKs) on the face or scalp in immunocompetent adult patients when size or number of lesions limit the efficacy and / or acceptability of cryotherapy and other topical treatment options are contraindicated or less appropriate.

",Q423417,,59943,,
32,Aldurazyme,laronidase,2003-06-10,Authorised,Mucopolysaccharidosis I,index.jsp?curl=pages/medicines/human/medicines/000477/human_med_000636.jsp,A16AB05,EMEA/H/C/000477,Aldurazyme is indicated for long-term enzyme replacement therapy in patients with a confirmed diagnosis of mucopolysaccharidosis I (MPS I; alpha-L-iduronidase deficiency) to treat the nonneurological manifestations of the disease.,Q20801774,,,,
33,Alimta,pemetrexed,2004-09-20,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/000564/human_med_000638.jsp,L01BA04,EMEA/H/C/000564,"Malignant pleural mesothelioma
Alimta in combination with cisplatin is indicated for the treatment of chemotherapy-nave patients with unresectable malignant pleural mesothelioma.
Non-small-cell lung cancer
Alimta in combination with cisplatin is indicated for the first-line treatment of patients with locally advanced or metastatic non-small-cell lung cancer other than predominantly squamous cell histology.
Alimta is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small-cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy.
Alimta is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small-cell lung cancer other than predominantly squamous cell histology.",Q415220,,,,
34,Alisade,fluticasone furoate,2008-10-06,Withdrawn,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal",index.jsp?curl=pages/medicines/human/medicines/001019/human_med_000639.jsp,R01AD12,EMEA/H/C/001019,"Adults, adolescents (12 years and over) and children (6 - 11 years). Alisade is indicated for the treatment of the symptoms of allergic rhinitis.",Q2166700,,705022,,
35,Allex,desloratadine,2001-01-15,Withdrawn,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/000312/human_med_000640.jsp,R06AX27,EMEA/H/C/000312,Aerius is indicated for the relief of symptoms associated with:- allergic rhinitis (see section 5.1)- urticaria (see section 5.1),Q418060,,275635,,
36,Alli (previously Orlistat GSK),orlistat,2007-07-23,Authorised,Obesity,index.jsp?curl=pages/medicines/human/medicines/000854/human_med_000641.jsp,A08AB01,EMEA/H/C/000854,"Alli is indicated for weight loss in adults who are overweight (body mass index, BMI,  28 kg/m2) and should be taken in conjunction with a mildly hypocaloric, lower-fat diet.",Q424163,,37925,,
37,Aloxi,palonosetron hydrochloride,2005-03-22,Authorised,Cancer  Vomiting,index.jsp?curl=pages/medicines/human/medicines/000563/human_med_000642.jsp,A04AA05,EMEA/H/C/000563,"Aloxi is indicated in adults for:

the prevention of acute nausea and vomiting associated with highly emetogenic cancer chemotherapy, 
the prevention of nausea and vomiting associated with moderately emetogenic cancer chemotherapy.

Aloxi is indicated in paediatric patients 1 month of age and older for:

the prevention of acute nausea and vomiting associated with highly emetogenic cancer chemotherapy and prevention of nausea and vomiting associated with moderately emetogenic cancer chemotherapy.
",Q419841,,70561,,
38,Alpheon,recombinant human interferon alfa-2a,2006-09-05,Refused,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/000585/human_med_000643.jsp,L03AB04,EMEA/H/C/000585,Adult patients with histologically proven chronic hepatitis C who are positive for hepatitis C virus (HCV) antibodies or HCV RNA and have elevated serum alanine aminotransferase (ALT) without liver decompensation.The efficacy of Interferon alfa-2a in the treatment of hepatitis C is enhanced when combined with ribavirin. Alpheon should be given alone mainly in case of intolerance or contra-indication to ribavirin.,Q20801761,,,,
39,Alprolix,eftrenonacog alfa,2016-05-12,Authorised,Hemophilia B,index.jsp?curl=pages/medicines/human/medicines/004142/human_med_001973.jsp,B02BD04,EMEA/H/C/004142,Treatment and prophylaxis of bleeding in patients with haemophilia B (congenital factor IX deficiency).,Q20801778,,,,
40,Altargo,retapamulin,2007-05-24,Authorised,Impetigo  Staphylococcal Skin Infections,index.jsp?curl=pages/medicines/human/medicines/000757/human_med_000644.jsp,D06AX13,EMEA/H/C/000757,"Short term treatment of the following superficial skin infections:

impetigo;
infected small lacerations, abrasions or sutured wounds.

See sections 4.4 and 5.1 for important information regarding the clinical activity of retapamulin against different types of Staphylococcus aureus.
Consideration should be given to official guidance on the appropriate use of antibacterial agents.",Q7316645,,642274,,
41,Ambirix,hepatitis-A virus (inactivated) / hepatitis-B surface antigen,2002-08-30,Authorised,Hepatitis A  Hepatitis B  Immunization,index.jsp?curl=pages/medicines/human/medicines/000426/human_med_000645.jsp,J07BC20,EMEA/H/C/000426,"Ambirix is for use in non-immune persons from one year up to and including 15 years of agefor protection against hepatitis-A and hepatitis-B infection.
Protection against hepatitis-B infections may not be obtained until after the second dose.
Therefore: 

Ambirix should be used only when there is a relatively low risk of hepatitis-B infection during the vaccination course;
it is recommended that Ambirix should be administered in settings where completion of the two-dose vaccination course can be assured.

",,,,,
42,Ameluz,5-aminolevulinic acid hydrochloride,2011-12-14,Authorised,"Keratosis, Actinic",index.jsp?curl=pages/medicines/human/medicines/002204/human_med_001528.jsp,L01XD04,EMEA/H/C/002204,Treatment of actinic keratosis of mild to moderate severity on the face and scalp and of field cancerization.,Q238474,,683,,
43,Amlodipine / Valsartan Mylan,amlodipine besilate / valsartan,2016-03-22,Authorised,Hypertension,,C09DB01,EMEA/H/C/004037,"Treatment of essential hypertension.
Amlodipine/Valsartan Mylan is indicated in adults whose blood pressure is not adequately controlled on amlodipine or valsartan monotherapy.",,"['Q27105760', 'Q155472']",,"['104416', '69749']",
44,Ammonaps,sodium phenylbutyrate,1999-12-08,Authorised,Carbamoyl-Phosphate Synthase I Deficiency Disease  Citrullinemia  Ornithine Carbamoyltransferase Deficiency Disease,index.jsp?curl=pages/medicines/human/medicines/000219/human_med_000646.jsp,A16AX03,EMEA/H/C/000219,"Ammonaps is indicated as adjunctive therapy in the chronic management of urea cycle disorders, involving deficiencies of carbamylphosphate synthetase, ornithine transcarbamylase orargininosuccinate synthetase.
It is indicated in all patients with neonatal-onset presentation (complete enzyme deficiencies, presenting within the first 28 days of life). It is also indicated in patients with late-onset disease(partial enzyme deficiencies, presenting after the first month of life) who have a history of hyperammonaemic encephalopathy.",Q7553358,,214837,,
45,Amyvid,florbetapir (18F),2013-01-14,Authorised,Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/002422/human_med_001611.jsp,V09AX05,EMEA/H/C/002422,"This medicinal product is for diagnostic use only.
Amyvid is a radiopharmaceutical indicated for Positron Emission Tomography (PET) imaging of -amyloid neuritic plaque density in the brains of adult patients with cognitive impairment who are being evaluated for Alzheimers disease (AD) and other causes of cognitive impairment. Amyvid should be used in conjunction with a clinical evaluation.
A negative scan indicates sparse or no plaques, which is not consistent with a diagnosis of AD.",,,,,
46,Angiox,bivalirudin,2004-09-20,Authorised,"Acute Coronary Syndrome  Angioplasty, Transluminal, Percutaneous Coronary",index.jsp?curl=pages/medicines/human/medicines/000562/human_med_000647.jsp,B01AE06,EMEA/H/C/000562,"Angiox is indicated as an anticoagulant in adult patients undergoing percutaneous coronary intervention (PCI), including patients with ST-segment-elevation myocardial infarction (STEMI) undergoing primary PCI.
Angiox is also indicated for the treatment of adult patients with unstable angina/ non-ST-segment-elevation myocardial infarction (UA / NSTEMI) planned for urgent or early intervention.
Angiox should be administered with aspirin and clopidogrel.",Q4919218,,,,
47,Anoro,umeclidinium bromide / vilanterol trifenatate,2014-05-08,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002751/human_med_001754.jsp,R03AL03,EMEA/H/C/002751,Anoro is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,,"['Q15624035', 'Q27145087']",,"['1487512', '1424883']",1487520
48,Apidra,insulin glulisine,2004-09-27,Authorised,Diabetes Mellitus,index.jsp?curl=pages/medicines/human/medicines/000557/human_med_000648.jsp,A10AB06,EMEA/H/C/000557,"Treatment of adults, adolescents and children,six years or older with diabetes mellitus, where treatment with insulin is required.",Q6042242,,,,
49,Aprovel,irbesartan,1997-08-27,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000141/human_med_000649.jsp,C09CA04,EMEA/H/C/000141,"Treatment of essential hypertension.
Treatment of renal disease in patients with hypertension and type-2 diabetes mellitus as part of an antihypertensive medicinal-product regimen.",Q947266,,83818,,
