,Product,EU Designation,Designated Orphan Indication,Sponsor,Designation date,TradenameEU Centralised NrImplemented on,drug_qid,indication,doid,hpo,ordo,mesh,indication_qid_doid,indication_qid_ordo,indication_qid_mesh
33,"20-pentaerythritol poly (oxy-1,2-ethanediyl)-carboxymethyl-glycinate-7-ethyl-10-hydroxycamptothecine 10-[1,4'-bipiperidine]-1'-carboxylate",EU/3/11/900,Treatment of ovarian cancer,Nektar Therapeutics UK Ltd,27/09/2011,,,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
34,"2-(1,5-dimethyl-3-phenyl-1H-pyrrol-2-yl)-N-{4-[4-(5-fluoro-pyrimidin-2-yl)piperazin-1-yl]-phenyl}-2-oxo-acetamide",EU/3/16/1713,Treatment of scedosporiosis,F2G Ltd,29/08/2016,,,scedosporiosis,,,http://www.orpha.net/ORDO/Orphanet_449280,,,,
35,"2-(1,5-dimethyl-3-phenyl-1H-pyrrol-2-yl)-N-{4-[4-(5-fluoro-pyrimidin-2-yl)piperazin-1-yl]-phenyl}-2-oxo-acetamide",EU/3/16/1738,Treatment of invasive aspergillosis,F2G Ltd,14/10/2016,,,invasive aspergillosis,http://purl.obolibrary.org/obo/DOID_0050073,,,,Q18553203,,
36,"2,2'-{2-[(1R)-1-({[(2,5-dichlorobenzoyl)amino]acetyl}amino)-3-methylbutyl]-5-oxo-1,3,2-dioxaborolane-4,4-diyl}diacetic acid",EU/3/11/899,Treatment of multiple myeloma,Takeda Pharma A/S,27/09/2011,NinlaroEU/1/16/109423/11/2016,,multiple myeloma,http://purl.obolibrary.org/obo/DOID_9538,http://purl.obolibrary.org/obo/HP_0006775,http://www.orpha.net/ORDO/Orphanet_29073,D009101,Q467635,,Q467635
37,2-(2-chlorobenzylidene)hydrazinecarboximidamide acetate,EU/3/15/1598,Treatment of Charcot-Marie-Tooth disease,Inflectis Bioscience,14/12/2015,,,charcotmarietooth disease,http://purl.obolibrary.org/obo/DOID_10595,,http://www.orpha.net/ORDO/Orphanet_166,D002607,Q1052687,Q1052687,Q1052687
38,"2-(2-chlorophenyl)-4-[3-(dimethylamino)phenyl]-5-methyl-1H-pyrazolo[4,3-C]pyridine-3,6(2H,5H)-dione",EU/3/10/802,Treatment of idiopathic pulmonary fibrosis,GenKyoTex Innovation S.A.S,26/11/2010,,,idiopathic pulmonary fibrosis,http://purl.obolibrary.org/obo/DOID_0050156,,http://www.orpha.net/ORDO/Orphanet_2032,D054990,Q2290446,,Q2290446
39,"2-(2-chlorophenyl)-4-[3-(dimethylamino)phenyl]-5-methyl-1H-pyrazolo[4,3-C]pyridine-3,6(2H,5H)-dione",EU/3/15/1559,Treatment of systemic sclerosis,GenKyoTex Innovation S.A.S,09/10/2015,,,systemic sclerosis,http://purl.obolibrary.org/obo/DOID_418,,http://www.orpha.net/ORDO/Orphanet_90291,D012595,Q5340515,,Q5340515
40,"2,2-dimethylbutyric acid, sodium salt",EU/3/09/617,Treatment of beta-thalassaemia intermedia and major,Isabelle Ramirez,27/02/2009,,Q5984881,betathalassemia intermedia and major,,,,,,,
41,"2,2-dimethylbutyric acid, sodium salt",EU/3/09/621,Treatment of sickle cell disease,Isabelle Ramirez,18/03/2009,,Q5984881,sickle cell disease,,,http://www.orpha.net/ORDO/Orphanet_232,D000755,,,Q185034
42,"2-((2-ethyl-6-(4-(2-(3-hydroxyazetidin-1-yl)-2-oxoethyl)-piperazin-1-yl)-8-methylimidazo[1,2-alpha]pyridin-3-yl)-(methyl)amino)-4-(4-fluorophenyl)-thiazole-5-carbonitrile",EU/3/16/1712,Treatment of idiopathic pulmonary fibrosis,Galapagos NV,29/08/2016,,Q407204,idiopathic pulmonary fibrosis,http://purl.obolibrary.org/obo/DOID_0050156,,http://www.orpha.net/ORDO/Orphanet_2032,D054990,Q2290446,,Q2290446
43,2-(2-methyl-5-nitro-1H-imidazol-1-yl)ethylsulfamide,EU/3/14/1324,Treatment of small cell lung cancer,DualTpharma B.V.,22/08/2014,,,small cell lung cancer,,http://purl.obolibrary.org/obo/HP_0030357,http://www.orpha.net/ORDO/Orphanet_70573,D055752,,,Q19000544
44,2-(2-phenylvinyl)-4-[4-methylpiperazin-1-yl)]-6-(5-methyl-2H-pyrazol-3-yl-amino)-pyrimidine L(+) tartrate salt,EU/3/15/1544,Treatment of hepatocellular carcinoma,Dr Ulrich Granzer,10/08/2015,,,hepatocellular carcinoma,http://purl.obolibrary.org/obo/DOID_684,http://purl.obolibrary.org/obo/HP_0001402,http://www.orpha.net/ORDO/Orphanet_88673,D006528,Q1148337,,Q1148337
45,"2-((3-((4-((3-aminopropyl)amino)butyl)amino)propyl)amino)-N-((5S,5aS,8aR,9R)-9-(4-hydroxy-3,5-dimethoxyphenyl)-8-oxo-5,5a,6,8,8a,9-hexahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-5-yl)acetamide, tetrahydrochloride",EU/3/15/1517,Treatment of acute myeloid leukaemia,Pierre Fabre Médicament,28/07/2015,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
46,"2',3',5'-tri-O-acetyluridine",EU/3/09/637,Treatment of 5-fluorouracil overdose,Wellstat Therapeutics EU Limited,15/05/2009,,,5fluororacil overdose,,,,,,,
47,2-[4-(1-methyl-4-pyridin-4-yl-1H-pyrazol-3-yl)-phenoxymethyl]-quinoline succinic acid,EU/3/16/1691,Treatment of Huntington's disease,Pfizer Limited,14/07/2016,,,huntingtons disease,http://purl.obolibrary.org/obo/DOID_12858,,,D006816,Q190564,,Q190564
48,2-[4-Methoxy-3-(2-m-tolyl-ethoxy)-benzoylamino]-indan-2-carboxylic acid,EU/3/13/1108,Treatment of systemic sclerosis,Sanofi-Aventis groupe,12/03/2013,,,systemic sclerosis,http://purl.obolibrary.org/obo/DOID_418,,http://www.orpha.net/ORDO/Orphanet_90291,D012595,Q5340515,,Q5340515
49,2-(7-ethoxy-4-(3-fluorophenyl)-1-oxophthalazin-2(1H)-yl)-N-methyl-N-(2-methylbenzo[d]oxazol-6-yl)acetamide,EU/3/15/1498,Treatment of cystic fibrosis,Clinical Network Services (UK) Ltd,21/05/2015,,,cystic fibrosis,http://purl.obolibrary.org/obo/DOID_1485,,http://www.orpha.net/ORDO/Orphanet_586,D003550,Q178194,,Q178194
50,"2-Allyl-1-[6-(1-hydroxy-1-methylethyl)pyridin-2-yl]-6-{[4-(4-methylpiperazin-1-yl)phenyl]amino}-1,2-dihydro-3H-pyrazolo[3,4-d]pyrimidin-3-one",EU/3/12/989,Treatment of ovarian cancer,AstraZeneca UK Limited,26/04/2012,,,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
51,"2-amino-2-[2-[2-chloro-4-[[3-(phenylmethoxy)phenyl]thio]phenyl]ethyl]-1,3-propanediol hydrochloride",EU/3/15/1583,Prevention of graft-versus-host disease,Novartis Europharm Limited,14/12/2015,,,graftversushost disease,,,,D006086,,,Q1194520
52,"{2-amino-8-[4-(pyrrolidinylcarbonyl)phenyl]-(3H-benzo[f]azepin-4-yl)}-N,N-dipropylcarboxamide",EU/3/15/1488,Treatment of ovarian cancer,Right Track Regulatory Limited,21/05/2015,,,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
53,"((2-aminoethyl) carbamic acid (2R,5S,8S,11S,14R,17S,19aS)-11-(4-aminobutyl)-5-benzyl-8-(4-benzyloxy benzyl)-14-(1H-indol-3-ylmethyl)-4,7,10,13,16,19-hexaoxo-17-phenyloctadecahydro-3a,6,9,12,15,18-hexaazacyclopentacyclooctadecen-2-yl ester, di[(S)-2-aminosuccinic acid] salt",EU/3/04/200,Treatment of functional gastro-entero-pancreatic endocrine tumours,Novartis Europharm Limited,08/06/2004,,,functional gastroenteropancreatic endocrine tumors,,,,,,,
54,2-chloro-N6-(3-iodobenzyl)adenosine-5'-N-methyluronamide,EU/3/15/1565,Treatment of hepatocellular carcinoma,PBS Regulatory Consulting Group Limited,09/10/2015,,,hepatocellular carcinoma,http://purl.obolibrary.org/obo/DOID_684,http://purl.obolibrary.org/obo/HP_0001402,http://www.orpha.net/ORDO/Orphanet_88673,D006528,Q1148337,,Q1148337
55,[2-Cyano-3-cyclopropyl-3-hydroxy-N-(3-methyl-4-trifluoromethylphenyl)prop-2-enamide],EU/3/12/1050,Treatment of traumatic spinal cord injury,Algiax Pharmaceuticals GmbH,10/10/2012,,,traumatic spinal cord injury,,,,,,,
56,"2-ethylbutyl (2S)-2-{[(S)-{[(2R,3S,4R,5R)-5-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydrofuran-2-yl]methoxy}(phenoxy)phosphoryl]amino}propanoate",EU/3/16/1615,Treatment of Ebola virus disease,Gilead Sciences International Ltd,17/02/2016,,,ebola virus disease,http://purl.obolibrary.org/obo/DOID_4325,,http://www.orpha.net/ORDO/Orphanet_319218,D019142,Q51993,,Q8064876
57,2-hydroxy-6-((2-(1-isopropyl-1H-pyrazol-5-yl)pyridin-3-yl)methoxy)benzaldehyde,EU/3/16/1769,Treatment of sickle cell disease,SynteractHCR Deutschland GmbH,18/11/2016,,Q1959945,sickle cell disease,,,http://www.orpha.net/ORDO/Orphanet_232,D000755,,,Q185034
58,"2-hydroxymethyl-2-methoxymethyl-1-azabicyclo[2,2,2]octan-3-one",EU/3/14/1386,Treatment of ovarian cancer,Aprea AB,16/12/2014,,,ovarian cancer,http://purl.obolibrary.org/obo/DOID_2394,,http://www.orpha.net/ORDO/Orphanet_213500,D010051,Q172341,,Q172341
59,2-hydroxyoleic acid,EU/3/11/916,Treatment of glioma,Lipopharma Therapeutics SL,27/10/2011,,,glioma,http://purl.obolibrary.org/obo/DOID_3070,http://purl.obolibrary.org/obo/HP_0009733,http://www.orpha.net/ORDO/Orphanet_182067,D005910,Q1365309,Q1365309,Q18556612
60,2-hydroxypropyl-ß-cyclodextrin,EU/3/13/1124,"Treatment of Niemann-Pick disease, type C",Vtesse Europe Limited,26/04/2013,,,"niemannpick disease, type c",,,,D052556,,,Q2067267
61,2-iminobiotin,EU/3/09/701,Treatment of perinatal asphyxia,Neurophyxia B.V.,28/01/2010,,Q27094295,perinatal asphyxia,,,,,,,
62,"2-Methoxy-5-[(1Z)-2-(3,4,5-trimethoxyphenyl)ethenyl]-phenol",EU/3/04/195,Treatment of anaplastic thyroid cancer,Diamond BioPharm Limited,14/04/2004,,,anaplastic thyroid cancer,,,,D065646,,,
63,"2-methoxymethyl-2-hydroxymethyl-1-azabicyclo[2,2,2]octan-3-one",EU/3/10/742,Treatment of acute myeloid leukaemia,Aprea AB,10/06/2010,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
64,"2-methyl-1-[(4-[6-(trifluoromethyl)pyridin-2-yl]-6-{[2-(trifluoromethyl)pyridin-4-yl]amino}-1,3,5-triazin-2-yl)amino]propan-2-ol methanesulfonate",EU/3/16/1640,Treatment of acute myeloid leukaemia,Celgene Europe Limited,28/04/2016,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
65,2'-O-(2-methoxyethyl)phosphorothioate antisense oligonucleotide targeting the growth hormone receptor,EU/3/16/1671,Treatment of acromegaly,Coté Orphan Consulting UK Limited,27/06/2016,,,acromegaly,http://purl.obolibrary.org/obo/DOID_2449,http://purl.obolibrary.org/obo/HP_0000845,http://www.orpha.net/ORDO/Orphanet_963,D000172,Q189580,,Q189580
66,"2'-O-methyl phosphorothioate RNA oligonucleotide, 5'-m5CUGm5CUGm5CUGm5CUGm5CUGm5CUGm5CUG-3'",EU/3/15/1432,Treatment of Huntington's disease,BioMarin International Limited,18/02/2015,,,huntingtons disease,http://purl.obolibrary.org/obo/DOID_12858,,,D006816,Q190564,,Q190564
67,"(-)-(2R)-3-(2-hydroxymethylindanyl-4-oxy)-phenyl-4,4,4-trifluorobutane-1-sulfonate",EU/3/08/560,Treatment of moderate and severe closed traumatic brain injury,KeyNeurotek Pharmaceuticals AG,05/09/2008,,,moderate and severe closed traumatic brain injury,,,,,,,
68,"(2R,3R,4S,5R)-2-(6-amino-9H-purin-9-yl)-5-((((1r,3S)-3-(2-(5-(tert-butyl)-1H-benzo[d]imidazol-2-yl)ethyl)cyclobutyl)(isopropyl) amino)methyl)tetrahydrofuran-3,4-diol",EU/3/13/1230,Treatment of acute myeloid leukaemia,Voisin Consulting S.A.R.L.,16/01/2014,,,acute myeloid leukemia,http://purl.obolibrary.org/obo/DOID_9119,http://purl.obolibrary.org/obo/HP_0004808,http://www.orpha.net/ORDO/Orphanet_519,D015470,Q264118,,Q264118
69,"(2R,3R,4S,5R)-2-(6-amino-9H-purin-9-yl)-5-((((1r,3S)-3-(2-(5-(tert-butyl)-1H-benzo[d]imidazol-2-yl)ethyl)cyclobutyl)(isopropyl) amino)methyl)tetrahydrofuran-3,4-diol",EU/3/13/1231,Treatment of acute lymphoblastic leukaemia,Voisin Consulting S.A.R.L.,16/01/2014,,,acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/DOID_9952,http://purl.obolibrary.org/obo/HP_0006721,http://www.orpha.net/ORDO/Orphanet_513,D054198,Q180664,Q180664,Q6708277
70,"(2R,3S)-2-(4-cyclopentylaminophenyl)-1-(2-fluoro-6-methylbenzoyl)piperidine-3-carboxylic acid(4-methyl-3-trifluoromethylphenyl)amide",EU/3/14/1372,Treatment of microscopic polyangiitis,ChemoCentryx Limited,19/11/2014,,,microscopic polyangiitis,,,http://www.orpha.net/ORDO/Orphanet_727,D055953,,Q1934069,Q1934069
71,"(2R,3S)-2-(4-cyclopentylaminophenyl)-1-(2-fluoro-6-methylbenzoyl)piperidine-3-carboxylic acid(4-methyl-3-trifluoromethylphenyl)amide",EU/3/14/1373,Treatment of granulomatosis with polyangiitis,ChemoCentryx Limited,19/11/2014,,,granulomatosis with polyangiitis,,,http://www.orpha.net/ORDO/Orphanet_900,D014890,,,Q1161568
72,"2S, 4R ketoconazole",EU/3/12/1012,Treatment of Cushing&#8217;s syndrome,Cortendo AB,04/07/2012,,,cushings syndrome,http://purl.obolibrary.org/obo/DOID_12252,,http://www.orpha.net/ORDO/Orphanet_553,D003480,Q219102,,Q219102
73,"(2S)-2-{[(2R)-2-[({[3,3-dibutyl-7-(methylthio)-1,1-dioxido-5-phenyl-2,3,4,5-tetrahydro- 1,2,5-benzothiadiazepin-8-yl]oxy}acetyl)amino]-2-(4-hydroxyphenyl)acetyl]amino}butanoic acid",EU/3/12/1028,Treatment of progressive familial intrahepatic cholestasis,Albireo AB,17/07/2012,,,progressive familial intrahepatic cholestasis,,,http://www.orpha.net/ORDO/Orphanet_172,,,Q6058436,
